rownames	tiller	height	wetWeight	COUNTRY	Latitude	Longitude	Regions	Subspecies	tiller_raw	tiller_cat	group
A4001	[30,37)	106	234.146666666667	Indonesia	-6.35	108.1	SouthPacific	TRJ	35.6666666666667	T4	[30,37)
A4002	[16,23)	76	114.456666666667	Indonesia	-5.12713	108.295	SouthPacific	IND	19.3333333333333	T2	[16,23)
A4003	[16,23)	74.3333333333333	76.89	UnitedStates	31.0886	-99.1713	NorthAmerica	TRJ	19	T2	[16,23)
A4005	[16,23)	78.3333333333333	64.8866666666667	Thailand	16.3093	99.4677	SoutheastAsia	TRJ	22.3333333333333	T2	[16,23)
A4006	[23,30)	62.3333333333333	83.0633333333333	UnitedStates	33.285	-91.4786	NorthAmerica	TRJ	27.3333333333333	T3	[23,30)
A4007	[16,23)	65	45.6233333333333	Philippines	14.733	121.117	SouthPacific	TRJ	17	T2	[16,23)
A4008	[30,37)	83.6666666666667	NA	Taiwan	25.6962	123.097	China	TRJ	34.6666666666667	T4	[30,37)
A4009	[16,23)	85.6666666666667	96.59	Micronesia	4.48964	157.9	SouthPacific	TRJ	19	T2	[16,23)
A4010	[37,44)	92	156.053333333333	China	28.8086	105.512	China	IND	40	T5	[37,44)
B4011	<16	79.6666666666667	74.99	Venezuela	9.96527	-67.2544	SouthAmerica	TRJ	14.6666666666667	T1	<16
B4012	[23,30)	66	86.29	Spain	40.6773	3.46707	WesternEurope	TEJ	25	T3	[23,30)
B4013	[16,23)	73.6666666666667	75.2666666666667	ElSalvador	13.0989	-90.6469	CentralAmerica	TRJ	22.3333333333333	T2	[16,23)
B4014	[23,30)	71.3333333333333	80.7	CostaRica	10	-84.5	CentralAmerica	IND	24	T3	[23,30)
B4015	[30,37)	72.3333333333333	99.79	Belize	17	-88.5	CentralAmerica	TRJ	31	T4	[30,37)
B4017	[16,23)	105.666666666667	108.093333333333	Japan	40.5641	138.369	NorthPacific	TEJ	19.6666666666667	T2	[16,23)
B4018	[30,37)	81.3333333333333	97.0633333333333	Suriname	4.23817	-54.7294	SouthAmerica	IND	33	T4	[30,37)
B4019	[16,23)	58.6666666666667	49.5766666666667	Panama	20.8999	-79.9175	CentralAmerica	IND	20	T2	[16,23)
B4020	[23,30)	92.3333333333333	136.633333333333	Poland	50.794	22.2258	EasternEurope	TEJ	25	T3	[23,30)
C4021	[16,23)	108	147.32	RussianFederation	44.8336	38.1651	EasternEurope	TEJ	18.3333333333333	T2	[16,23)
C4022	[16,23)	83	109.1	Portugal	40.3141	-8.37204	WesternEurope	TEJ	20	T2	[16,23)
