tiller	PCo1	PCo2	PCo3	PCo4	PC1	PC2	PC3	PC4
A4001	35.66666667	0.00460681463054802	0.0924336740474721	-0.141175817866038	-0.0121679540145327	0.0813631	-0.014081	-0.0720763	0.00117498
A4002	19.33333333	0.0828080521735985	-0.0543808136566138	-0.0575187556854001	-0.0900882835042867	-0.0697449	-0.074703	0.0094589	-0.0178121
A4003	19	-0.135186814338631	-0.0765271559958018	-0.0118508622110475	0.0688659927394319	0.0928566	-0.0113182	-0.127663	0.00680333
A4005	22.33333333	0.0981555918921418	0.110072194979731	0.0624478835674524	0.0268393405819187	0.0967611	-0.0107647	-0.050134	-0.012319
A4006	27.33333333	-0.0978922627924531	-0.036678777506951	0.0585594966241583	0.0802190733992898	0.0745229	0.00447977	-0.108197	-0.00514356
A4007	17	-0.0247549670406443	0.0206112492832128	0.0401092018292403	-0.0403386003854722	0.094291	-0.0103167	-0.144552	0.000598855
A4008	34.66666667	0.228508728549318	0.250387899892587	0.154127323963295	-0.0543712707751264	0.0862517	-0.00733483	-0.127424	-0.00306477
A4009	19	-0.118371059607275	0.0378915775164905	0.0333861100715704	0.116745403753291	0.097708	-0.0129278	-0.156395	0.00102378
A4010	40	0.208459573666754	0.211760139984999	0.00087662891478026	-0.00363396698169034	-0.0708303	-0.0806182	0.00863559	-0.0202321
B4011	14.66666667	-0.0291607415140628	-0.0299373797148773	0.126672162343628	-0.0235340903017506	0.0945826	-0.0131336	-0.146515	0.00787676
B4012	25	-0.0908309090386871	-0.0995898741817617	-0.0431071665736079	-0.0372973670472224	0.107859	-0.00782829	0.100558	-0.000146701
B4013	22.33333333	-0.286923021320352	0.0086848238966599	-0.00833481864657754	-0.00470892824885966	0.0947959	-0.0133699	-0.147424	0.0043981
B4014	24	-0.170586542259278	-0.0457744881137108	0.0994178272635359	0.0590657317719229	-0.0667935	-0.0690945	-0.00474337	-0.00490326
B4015	31	-0.0500650225541491	0.0419571572058684	0.0771287689158703	-0.0701047210708929	0.0962508	-0.0149402	-0.157429	0.0018631
B4017	19.66666667	0.211014730030369	0.137945955013223	0.0134141163300185	0.0250179253760966	0.111985	-0.0105551	0.134868	-0.00942392
