ID	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
B4017	0.106	0.00483	1081.5	0.961	0.637	37.5	85.3	17656	1077	0.45	0.0395	4.45	6.41	1.93
E4041	0.0566	0.0129	1397.9	0.985	0.75	105.6	228.2	17656	1395	0.373	0.0151	5.43	7.83	2.36
E4042	0.0971	0.00765	1143.2	0.976	0.697	63.7	135.1	17656	1139	0.432	0.0241	4.91	7.08	2.13
E4046	0.0638	0.0102	1300.8	0.982	0.725	84.3	180.4	17656	1298	0.388	0.0181	5.2	7.49	2.26
E4047	0.0731	0.0107	1367.1	0.981	0.726	83.5	188.6	17656	1364	0.406	0.0192	5.24	7.56	2.28
E4048	0.176	0.00625	1237.7	0.952	0.661	37.5	110.4	17656	1235	0.405	0.0478	4.7	6.79	2.04
E4050	0.107	0.0074	1262.7	0.97	0.683	53.8	130.6	17656	1259	0.425	0.0297	4.87	7.03	2.12
F4054	0.209	0.00398	1066.6	0.931	0.61	24.3	70.2	17656	1063	0.424	0.0687	4.25	6.13	1.85
F4055	0.161	0.00598	1129.9	0.958	0.663	40.8	105.6	17656	1126	0.426	0.0419	4.66	6.72	2.02
F4060	0.12	0.00658	1239.3	0.961	0.668	43.2	116.1	17656	1236	0.411	0.0387	4.75	6.86	2.06
J4086	0.169	0.00333	995.3	0.931	0.59	22.4	58.7	17656	991	0.447	0.0686	4.07	5.88	1.77
H4074	0.0996	0.00812	1301.5	0.971	0.693	56.6	143.3	17656	1299	0.394	0.0294	4.97	7.16	2.16
H4071	0.176	0.00263	945.8	0.919	0.56	18.3	46.3	17656	943	0.431	0.0806	3.84	5.53	1.67
J4083	0.163	0.00314	895.3	0.932	0.591	22.5	55.5	17656	892	0.422	0.0679	4.02	5.79	1.74
J4085	0.175	0.00263	937.3	0.925	0.561	19.1	46.4	17656	934	0.441	0.075	3.84	5.54	1.67
J4088	0.116	0.00513	1055.1	0.962	0.648	39.6	90.6	17656	1051	0.425	0.0381	4.51	6.5	1.96
J4089	0.211	0.00295	966.1	0.914	0.575	18.5	52.1	17656	962	0.45	0.0863	3.95	5.7	1.72
J4090	0.24	0.00203	825.2	0.906	0.533	15.2	35.8	17656	821	0.45	0.0945	3.58	5.16	1.55
K4091	0.225	0.00239	801.9	0.915	0.56	18	42.3	17656	796	0.477	0.0846	3.74	5.4	1.63
K4098	0.18	0.00222	811.1	0.911	0.548	16.3	39.2	17656	805	0.475	0.0889	3.67	5.29	1.59
