Samples	PC1	PC2	PC3	PC4
A4001	0.000201012769834444	-0.138069822894383	-0.0837512155252595	0.0494072445269711
A4002	-0.0172218593528071	-0.045629763181648	-0.0307464109223576	0.118053249940034
A4003	-0.0912811544306142	0.136867660180786	-0.0632830895949606	0.0728264181770731
A4005	-0.0467438370465635	0.0968177330504116	-0.0585206138471689	0.0708232315836076
A4006	-0.0903912741700555	0.088594984231204	-0.0567442122060048	0.0107149303229462
A4007	-0.0770419462523507	0.122336305351087	-0.10149369362012	-0.0800794759562143
A4008	0.187512662552402	-0.142210405086601	-0.240085871769687	0.0781805376424933
A4009	-0.0958235131690355	-0.0243346602098125	0.0023974120201486	-0.0499361527060299
A4010	0.0675223060184559	-0.129641439383485	-0.0670309734559917	0.0110264442306873
B4011	0.104529023032944	0.126405382253901	0.000747458585359838	-0.0695647130611002
B4012	-0.170680868150434	0.0728357048347881	0.0636515898501978	-0.0220552926458563
B4013	-0.237830051334824	0.142381248073071	-0.0441249958860661	0.000469606364455767
B4014	0.103581157284279	0.130672244409719	0.0132980138241574	0.0628724107121522
B4015	-0.00771972026416749	0.117662671673042	-0.047040767011302	0.100078699431248
B4017	-0.0144170626008326	-0.0924964964330372	-0.264676301380895	0.0597693075897012
B4018	0.243552901390652	0.031541832646579	0.0202455273643468	-0.025325739311249
B4019	0.210562506796465	0.030943171096473	-0.00291973585804552	0.0191281649670349
B4020	-0.213239090807021	0.0276088215144741	-0.032158477869172	0.0452770834013242
C4021	-0.055356242220638	-0.0141163984400979	-0.0923287144703062	0.147511355287748
C4022	-0.0715174409752124	-0.0124827658875378	-0.0368558720982178	0.0645697271606996
C4024	-0.0225645967776686	-0.0133398716520486	-0.0372318418583475	-0.052544365720481
C4025	-0.157137856060376	0.0946812525868329	-0.00985617182739897	-0.028939514918898
C4026	-0.0425957498729986	0.135735019215181	0.0267698183493767	0.0989821228167319
C4027	-0.193991320889707	0.044273021588084	-0.0723500865693154	0.00962890165635071
C4029	0.0476758862888914	0.118016506630417	0.019692285563509	-0.0241481879182946
C4030	-0.0126497254491568	0.0815408539433699	-0.041590209357423	-0.00500617389091443
D4031	-0.0586313890221802	0.0647105453842401	-0.0278287094578096	-0.118359758320778
D4033	-0.163122089014521	0.129578429422997	0.00848650887962011	-0.00949960811644067
D4034	0.111914763294395	0.0652187687896685	0.0134137311071299	0.103289294376471
D4035	0.112185759822418	0.0974563172835693	-0.0402787229308329	-0.0512723623214721
D4036	0.277316434906097	-0.0192201267944138	0.0411388361135691	-0.0504777670595124
D4037	0.126532624903429	0.109582656633178	0.0392682586438319	0.0694348788533498
D4039	0.0637190007708774	0.0531949253166288	0.00838857078749894	-0.079265409746989
D4040	0.0415652602120544	0.0569728568932113	0.0255696698094771	0.107771722711408
E4041	0.294312558031981	-0.165272373320598	-0.131862907464508	0.0656181872739119
E4042	0.0511388005762024	-0.141676241833111	-0.209518597104079	0.070463974290414
E4043	0.200496555369035	0.0170695646327041	0.0654944901025602	0.0359717498781138
E4044	0.00843162977244109	-0.123276897168571	0.0338878762127565	-0.0155982047763406
E4045	0.121870872898018	0.033431390701456	-0.0411873780445823	0.00192528732398669
E4046	0.175713206884329	-0.140070761579856	-0.136178984356023	-0.0132237204957327
E4047	0.176755867221848	-0.113493377109009	-0.0778536055087631	-0.0479801962779333
E4048	0.228928772477109	-0.114763029788145	-0.221809310724484	0.0953042962564051
E4050	0.101997667452915	-0.184779580536628	-0.142667497387698	-0.00180578214657143
F4054	-0.0877975355123214	-0.197026965292891	-0.0157686886724115	-0.00372322173233576
F4055	0.0976731460094992	-0.200666318398745	0.027440675108586	-0.0390016892477978
