Genus	env	rho	pvalue	r2	slope	intercept	mean	median	FDR
Clostridium_sensu_stricto	tiller	0.057516056	0.463071717	0.002036975	-0.129126176	14.41431276	1.956974224	1.20984918	0.489532958
Paenibacillus	tiller	-0.292099466	0.000140705	0.097205922	-2.098112764	15.96141439	0.85781768	0.558924042	0.000578453
Gaiella	tiller	0.286648917	0.000189423	0.062861993	3.585687874	10.94955081	0.895801715	0.842109474	0.00062351
Sphingomonas	tiller	0.17668786	0.023193385	0.021457076	4.480817927	12.01420469	0.479245421	0.439013069	0.035756468
Bacillus	tiller	0.151753501	0.051681885	0.00144411	-0.157104487	14.34782028	1.185224703	0.969284291	0.070823323
Geobacter	tiller	0.390177283	2.21E-07	0.11052033	7.405787873	9.067505974	0.687855266	0.67037722	2.73E-06
Rhizobium	tiller	-0.166317251	0.032758122	0.029383386	-0.931822269	15.34608178	1.271128255	0.927397019	0.04848202
Burkholderia	tiller	-0.362992686	1.65E-06	0.126619159	-0.223510191	19.32565205	23.10425249	21.80877803	1.02E-05
Bacteroides	tiller	0.323831311	2.21E-05	0.063546895	3.709831227	11.52260856	0.711355165	0.62125111	0.00010202
Geothrix	tiller	0.377723466	5.69E-07	0.147004982	11.60092982	8.819798883	0.46046458	0.439827895	5.26E-06
Microbacterium	tiller	0.012008847	0.878327896	0.000800934	-0.43581227	14.3911956	0.526785172	0.431010301	0.878327896
Aeromonas	tiller	-0.099128107	0.20523902	0.01383542	-0.409377585	14.59305647	1.05389333	0.37193532	0.237307617
Bradyrhizobium	tiller	-0.185361436	0.017144056	0.03586442	-1.095594896	16.84146148	2.44601844	2.321651274	0.027579568
Sideroxydans	tiller	0.443899736	2.34E-09	0.205174606	1.485904598	9.563989331	3.094160174	2.771019874	8.67E-08
Exiguobacterium	tiller	-0.203150885	0.008869862	0.025932207	-0.425615097	14.58279186	0.989569458	0.255978139	0.015627851
Anaeromyxobacter	tiller	0.417715987	2.37E-08	0.179451935	0.974660077	8.920540611	5.377336853	4.960488608	4.39E-07
Mycobacterium	tiller	0.1257448	0.107542839	0.000823882	0.630670918	13.82211942	0.538310447	0.501298323	0.137209829
Tolumonas	tiller	-0.285435605	0.000202219	0.043799022	-1.449496098	14.92083656	0.523782301	0.2270158	0.00062351
Pelomonas	tiller	0.326110947	1.92E-05	0.090308346	4.001842003	11.65499086	0.626367882	0.504086935	0.000101223
Pleomorphomonas	tiller	-0.27472559	0.000355555	0.081421975	-2.166445325	16.95146816	1.287755551	1.150044507	0.000877037
Ralstonia	tiller	-0.275107756	0.000348603	0.076376066	-0.338675212	18.97522878	14.21306444	13.91443623	0.000877037
Acidovorax	tiller	-0.241327446	0.001792452	0.070908906	-2.556238789	16.01965882	0.726865843	0.568065725	0.003490564
Ensifer	tiller	-0.188287815	0.015438885	0.033043828	-2.685246407	15.83227221	0.622161171	0.512277398	0.025965397
Herbaspirillum	tiller	-0.261842838	0.00068046	0.039041431	-1.497865645	15.38209888	0.814814545	0.614923534	0.001481
Nocardioides	tiller	0.286149161	0.0001946	0.060022931	7.542771845	11.36750966	0.370434975	0.329693715	0.00062351
Desulfovibrio	tiller	0.111039408	0.155643085	3.85E-05	0.105646516	14.12092057	0.385205256	0.275003135	0.191959805
Azospirillum	tiller	-0.263046796	0.000641278	0.067668671	-5.746159615	15.90921229	0.304132889	0.213051622	0.001481
Massilia	tiller	0.100408231	0.199419444	0.000399286	1.078914917	14.03279312	0.11940056	0.088048333	0.237307617
Dechloromonas	tiller	0.137494415	0.078222357	0.001910011	2.059591438	13.92571485	0.114537914	0.084600964	0.103365257
Acidaminobacter	tiller	0.157572854	0.043246868	0.002541872	3.735177408	13.96450529	0.052771488	0.025296744	0.061543619
Pantoea	tiller	-0.025309844	0.746929307	0.000305186	-0.265537687	14.20893808	0.178211667	0.054629883	0.767677343
Pseudogulbenkiania	tiller	-0.212274775	0.006195399	0.040156358	-4.24515929	15.60508763	0.340027635	0.243915044	0.011461488
Piscinibacter	tiller	0.367771103	1.18E-06	0.121882114	9.976485566	11.67841601	0.248905301	0.196853836	8.70E-06
Micromonospora	tiller	0.278087586	0.000298561	0.051095838	3.925065929	13.27905332	0.224852997	0.150147415	0.000849751
Methylosinus	tiller	-0.094937638	0.225142504	0.006572945	-1.691544942	14.37195372	0.124346422	0.063312941	0.252432504
Gallionella	tiller	0.089556574	0.252652773	0.003683475	1.07763015	13.74261426	0.388817914	0.321297554	0.274945665
Georgfuchsia	tiller	0.249276776	0.001243105	0.041647431	5.325954465	12.0528655	0.395938546	0.347003921	0.002555271
