rownames	tiller	height	wetWeight	COUNTRY	Latitude	Longitude	Regions	Subspecies	tiller_raw	tiller_cat	group
A4001	[13,18)	69.6666666666667	50.2033333333333	Indonesia	-6.35	108.1	SouthPacific	TRJ	14.3333333333333	T3	[13,18)
A4002	[8,13)	56	42.2	Indonesia	-5.12713	108.295	SouthPacific	IND	10	T2	[8,13)
A4003	[8,13)	65.3333333333333	31.8966666666667	UnitedStates	31.0886	-99.1713	NorthAmerica	TRJ	11	T2	[8,13)
A4005	[8,13)	66.3333333333333	29.9566666666667	Thailand	16.3093	99.4677	SoutheastAsia	TRJ	10.6666666666667	T2	[8,13)
A4006	[8,13)	44.6666666666667	18.9633333333333	UnitedStates	33.285	-91.4786	NorthAmerica	TRJ	9.33333333333333	T2	[8,13)
A4007	[8,13)	61	21.2366666666667	Philippines	14.733	121.117	SouthPacific	TRJ	9.33333333333333	T2	[8,13)
A4008	[13,18)	63	51.1233333333333	Taiwan	25.6962	123.097	China	TRJ	16.6666666666667	T3	[13,18)
A4009	[8,13)	67.6666666666667	33.81	Micronesia	4.48964	157.9	SouthPacific	TRJ	12	T2	[8,13)
A4010	[18,23)	63.3333333333333	48.13	China	28.8086	105.512	China	IND	19	T4	[18,23)
B4011	[8,13)	71	34	Venezuela	9.96527	-67.2544	SouthAmerica	TRJ	8.66666666666667	T2	[8,13)
B4012	[13,18)	56.3333333333333	26.9266666666667	Spain	40.6773	3.46707	WesternEurope	TEJ	13	T3	[13,18)
B4013	[8,13)	66	34.51	ElSalvador	13.0989	-90.6469	CentralAmerica	TRJ	11	T2	[8,13)
B4014	[8,13)	55.6666666666667	19.7733333333333	CostaRica	10	-84.5	CentralAmerica	IND	9.33333333333333	T2	[8,13)
B4015	[13,18)	55.6666666666667	20.7666666666667	Belize	17	-88.5	CentralAmerica	TRJ	14.6666666666667	T3	[13,18)
B4017	[8,13)	89.3333333333333	53.3933333333333	Japan	40.5641	138.369	NorthPacific	TEJ	9.33333333333333	T2	[8,13)
B4018	[13,18)	68.6666666666667	35.8	Suriname	4.23817	-54.7294	SouthAmerica	IND	17.3333333333333	T3	[13,18)
B4019	[8,13)	56	22.3466666666667	Panama	20.8999	-79.9175	CentralAmerica	IND	12	T2	[8,13)
B4020	[8,13)	82	50.0366666666667	Poland	50.794	22.2258	EasternEurope	TEJ	10.6666666666667	T2	[8,13)
C4021	<8	92.3333333333333	57.21	RussianFederation	44.8336	38.1651	EasternEurope	TEJ	6.66666666666667	T1	<8
C4022	[8,13)	66.6666666666667	46.7166666666667	Portugal	40.3141	-8.37204	WesternEurope	TEJ	8.66666666666667	T2	[8,13)
C4024	[18,23)	69.3333333333333	62.3233333333333	Afghanistan	32.8781	64.6634	Subcontinent	AUS	18.6666666666667	T4	[18,23)
C4025	[13,18)	56.3333333333333	36.81	Japan	43.656	142.192	NorthPacific	TEJ	17.3333333333333	T3	[13,18)
C4026	[8,13)	50.3333333333333	17.3033333333333	Senegal	15.637	-11.5133	Africa	TRJ	12	T2	[8,13)
C4027	[8,13)	87.6666666666667	45.6766666666667	Uzbekistan	40.0171	69.2705	Balkans	TEJ	9.33333333333333	T2	[8,13)
C4029	[13,18)	57	23.6633333333333	India	24.9415	93.2684	Subcontinent	AUS	14.6666666666667	T3	[13,18)
C4030	<8	69	25.1366666666667	Laos	18.2735	102.844	SoutheastAsia	TRJ	7.33333333333333	T1	<8
D4031	[8,13)	69.6666666666667	29.16	Laos	19.4263	104.426	SoutheastAsia	TRJ	12.3333333333333	T2	[8,13)
D4033	[8,13)	70.6666666666667	22.91	PapuaNewGuinea	-5.20328	149.354	SouthPacific	TRJ	8.66666666666667	T2	[8,13)
D4034	[18,23)	48.6666666666667	32.5033333333333	India	19.2231	78.1418	Subcontinent	IND	22	T4	[18,23)
D4035	[13,18)	54.6666666666667	26.28	Malaysia	1.8331	113.502	SouthPacific	TRJ	13.6666666666667	T3	[13,18)
D4036	[18,23)	54.3333333333333	27.0166666666667	Pakistan	30.6447	74.6999	Subcontinent	AUS	20.3333333333333	T4	[18,23)
D4037	[13,18)	66.6666666666667	34.8733333333333	Korea	37.1662	126.366	NorthPacific	IND	15.6666666666667	T3	[13,18)
D4039	[8,13)	45.6666666666667	13.4966666666667	Uruguay	-32.211	-56.0197	SouthAmerica	AUS	11.3333333333333	T2	[8,13)
D4040	[13,18)	62.3333333333333	28.2	Taiwan	22.0908	121.428	China	IND	16.6666666666667	T3	[13,18)
E4041	[18,23)	61	47.4133333333333	Vietnam	16.8168	105.544	SoutheastAsia	IND	21.3333333333333	T4	[18,23)
E4042	[18,23)	68.6666666666667	45.8633333333333	Indonesia	-1.96229	101.791	SouthPacific	TRJ	19.3333333333333	T4	[18,23)
E4043	[18,23)	55.6666666666667	36.5133333333333	Guyana	3.80502	-57.1456	SouthAmerica	IND	20.3333333333333	T4	[18,23)
E4044	[8,13)	70.6666666666667	39.45	SriLanka	7.02404	81.393	Subcontinent	IND	9	T2	[8,13)
E4045	[23,28)	53	44.08	Malaysia	1.97136	110.966	SouthPacific	IND	24.6666666666667	T5	[23,28)
E4046	[13,18)	70	55.7	Myanmar	16.8504	97.1346	SoutheastAsia	AUS	14	T3	[13,18)
E4047	[13,18)	57	42.4066666666667	Suriname	2.75086	-56.5343	SouthAmerica	IND	17	T3	[13,18)
E4048	[8,13)	59.3333333333333	27.8766666666667	Guinea	9.40946	-10.4584	Africa	IND	10.6666666666667	T2	[8,13)
E4050	[13,18)	70	52.6833333333333	China	35.5537	103.395	China	IND	14.6666666666667	T3	[13,18)
F4054	[13,18)	63	52.94	Thailand	15.1354	100.393	SoutheastAsia	IND	15.3333333333333	T3	[13,18)
F4055	[8,13)	67	52.3966666666667	Chad	13.5779	18.2232	Africa	IND	10	T2	[8,13)
F4056	[18,23)	47.6666666666667	39.77	Malaysia	2.89662	102.324	SouthPacific	IND	22	T4	[18,23)
F4057	[13,18)	46.3333333333333	28.9033333333333	Ecuador	0.330314	-81.3986	SouthAmerica	IND	13.6666666666667	T3	[13,18)
F4058	[8,13)	62.3333333333333	25.5033333333333	Zaire	1.15745	23.707	Africa	TRJ	8	T2	[8,13)
F4060	[8,13)	48.6666666666667	34.83	Kazakhstan	48.3979	67.0198	Balkans	IND	12	T2	[8,13)
G4061	[8,13)	49	19.325	Thailand	13.9579	99.6854	SoutheastAsia	IND	8.5	T2	[8,13)
G4062	[18,23)	49.3333333333333	41.8633333333333	Philippines	16.0132	122.161	SouthPacific	IND	20.6666666666667	T4	[18,23)
G4063	<8	58.3333333333333	18.6066666666667	Guinea	9.29	-13.49	Africa	TRJ	6.33333333333333	T1	<8
G4065	[8,13)	67	50.3766666666667	Philippines	15.6611	120.451	SouthPacific	IND	11	T2	[8,13)
G4066	[8,13)	71.6666666666667	26.4866666666667	SriLanka	7.717	81.7	Subcontinent	IND	9.33333333333333	T2	[8,13)
G4068	[8,13)	81	38.8233333333333	Nepal	27.445	82.9558	Subcontinent	AUS	8.66666666666667	T2	[8,13)
G4069	[8,13)	76	56.3333333333333	Iran	31.2367	51.0068	Mideast	AUS	11.6666666666667	T2	[8,13)
G4070	[8,13)	54.6666666666667	14.5466666666667	Bhutan	27.3	90.617	Subcontinent	AUS	10.3333333333333	T2	[8,13)
H4071	<8	65.6666666666667	24.8333333333333	Tajikistan	39.1759	71.2467	Balkans	TEJ	7	T1	<8
H4074	[8,13)	55	42.4066666666667	India	29.0509	77.2151	Subcontinent	IND	11.6666666666667	T2	[8,13)
H4075	[8,13)	71.3333333333333	33.4133333333333	Hungary	47.6612	18.9556	EasternEurope	TEJ	8.66666666666667	T2	[8,13)
H4076	[23,28)	44	42.3666666666667	Cuba	23.322	-83.6698	CentralAmerica	IND	26.6666666666667	T5	[23,28)
H4077	[13,18)	62.3333333333333	31.4733333333333	Peru	-10.0887	-76.2088	SouthAmerica	TRJ	14.3333333333333	T3	[13,18)
H4079	[13,18)	92.6666666666667	65.27	India	31.3013	75.1656	Subcontinent	IND	13.3333333333333	T3	[13,18)
