tiller	PCo1	PCo2	PCo3	PCo4	PC1	PC2	PC3	PC4
A4001	14.33	0.000201012769834444	-0.138069822894383	-0.0837512155252595	0.0494072445269711	0.0813631	-0.014081	-0.0720763	0.00117498
A4002	10	-0.0172218593528071	-0.045629763181648	-0.0307464109223576	0.118053249940034	-0.0697449	-0.074703	0.0094589	-0.0178121
A4003	11	-0.0912811544306142	0.136867660180786	-0.0632830895949606	0.0728264181770731	0.0928566	-0.0113182	-0.127663	0.00680333
A4005	10.67	-0.0467438370465635	0.0968177330504116	-0.0585206138471689	0.0708232315836076	0.0967611	-0.0107647	-0.050134	-0.012319
A4006	9.33	-0.0903912741700555	0.088594984231204	-0.0567442122060048	0.0107149303229462	0.0745229	0.00447977	-0.108197	-0.00514356
A4007	9.33	-0.0770419462523507	0.122336305351087	-0.10149369362012	-0.0800794759562143	0.094291	-0.0103167	-0.144552	0.000598855
A4008	16.67	0.187512662552402	-0.142210405086601	-0.240085871769687	0.0781805376424933	0.0862517	-0.00733483	-0.127424	-0.00306477
A4009	12	-0.0958235131690355	-0.0243346602098125	0.0023974120201486	-0.0499361527060299	0.097708	-0.0129278	-0.156395	0.00102378
A4010	19	0.0675223060184559	-0.129641439383485	-0.0670309734559917	0.0110264442306873	-0.0708303	-0.0806182	0.00863559	-0.0202321
B4011	8.67	0.104529023032944	0.126405382253901	0.000747458585359838	-0.0695647130611002	0.0945826	-0.0131336	-0.146515	0.00787676
B4012	13	-0.170680868150434	0.0728357048347881	0.0636515898501978	-0.0220552926458563	0.107859	-0.00782829	0.100558	-0.000146701
B4013	11	-0.237830051334824	0.142381248073071	-0.0441249958860661	0.000469606364455767	0.0947959	-0.0133699	-0.147424	0.0043981
B4014	9.33	0.103581157284279	0.130672244409719	0.0132980138241574	0.0628724107121522	-0.0667935	-0.0690945	-0.00474337	-0.00490326
B4015	14.67	-0.00771972026416749	0.117662671673042	-0.047040767011302	0.100078699431248	0.0962508	-0.0149402	-0.157429	0.0018631
B4017	9.33	-0.0144170626008326	-0.0924964964330372	-0.264676301380895	0.0597693075897012	0.111985	-0.0105551	0.134868	-0.00942392
B4018	17.33	0.243552901390652	0.031541832646579	0.0202455273643468	-0.025325739311249	-0.043102	-0.0425119	-0.0294269	0.0272805
B4019	12	0.210562506796465	0.030943171096473	-0.00291973585804552	0.0191281649670349	-0.0719321	-0.0737233	0.00217329	0.0100118
B4020	10.67	-0.213239090807021	0.0276088215144741	-0.032158477869172	0.0452770834013242	0.110964	-0.00902453	0.14583	-0.00674036
