SampleID	SampleID2	Repetition	Genotype	Group	TillerNumber
NpRtBj01	Nip_1	1	Nip	Nipponbare	13
NpRtBj02	Nip_2	2	Nip	Nipponbare	10
NpRtBj03	Nip_3	3	Nip	Nipponbare	9
NpRtBj04	Nip_4	4	Nip	Nipponbare	9
NpRtBj05	Nip_5	5	Nip	Nipponbare	11
NpRtBj06	Nip_6	6	Nip	Nipponbare	12
NpRtBj07	Nip_7	7	Nip	Nipponbare	15
NpRtBj08	Nip_8	8	Nip	Nipponbare	11
NpRtBj09	Nip_9	9	Nip	Nipponbare	9
NpRtBj10	Nip_10	10	Nip	Nipponbare	10
NpRtBj11	Nip_11	11	Nip	Nipponbare	9
NpRtBj12	Nip_12	12	Nip	Nipponbare	14
NpRtBj13	Nip_13	13	Nip	Nipponbare	12
NpRtBj14	Nip_14	14	Nip	Nipponbare	10
NpRtBj15	Nip_15	15	Nip	Nipponbare	12
Nip_16	Nip_16	16	Nip	Nipponbare	8
Nip_17	Nip_17	17	Nip	Nipponbare	10
Nip_18	Nip_18	18	Nip	Nipponbare	12
d10RtBj01	d10_1	1	d10	Mutants	71
d10RtBj02	d10_2	2	d10	Mutants	77
d10RtBj03	d10_3	3	d10	Mutants	66
d10RtBj04	d10_4	4	d10	Mutants	59
d10RtBj05	d10_5	5	d10	Mutants	72
d10RtBj06	d10_6	6	d10	Mutants	80
d10RtBj07	d10_7	7	d10	Mutants	70
d10RtBj08	d10_8	8	d10	Mutants	83
d10RtBj09	d10_9	9	d10	Mutants	71
d10RtBj10	d10_10	10	d10	Mutants	63
d10RtBj11	d10_11	11	d10	Mutants	65
d10RtBj12	d10_12	12	d10	Mutants	68
d10RtBj13	d10_13	13	d10	Mutants	61
d10RtBj14	d10_14	14	d10	Mutants	80
d10RtBj15	d10_15	15	d10	Mutants	60
d10_16	d10_16	16	d10	Mutants	59
d10_17	d10_17	17	d10	Mutants	75
d10_18	d10_18	18	d10	Mutants	70
d14RtBj01	d14_1	1	d14	Mutants	41
d14RtBj02	d14_2	2	d14	Mutants	44
d14RtBj03	d14_3	3	d14	Mutants	43
d14RtBj04	d14_4	4	d14	Mutants	45
d14RtBj05	d14_5	5	d14	Mutants	38
d14RtBj06	d14_6	6	d14	Mutants	39
d14RtBj07	d14_7	7	d14	Mutants	40
d14RtBj08	d14_8	8	d14	Mutants	38
d14RtBj09	d14_9	9	d14	Mutants	40
d14RtBj10	d14_10	10	d14	Mutants	37
d14RtBj11	d14_11	11	d14	Mutants	41
d14RtBj12	d14_12	12	d14	Mutants	34
d14RtBj13	d14_13	13	d14	Mutants	34
d14RtBj14	d14_14	14	d14	Mutants	35
d14RtBj15	d14_15	15	d14	Mutants	38
d14_16	d14_16	16	d14	Mutants	43
d14_17	d14_17	17	d14	Mutants	48
d14_18	d14_18	18	d14	Mutants	40
d27_1	d27_1	1	d27	Mutants	74
d27_2	d27_2	2	d27	Mutants	70
d27_3	d27_3	3	d27	Mutants	82
d27_4	d27_4	4	d27	Mutants	64
d27_5	d27_5	5	d27	Mutants	60
d27_6	d27_6	6	d27	Mutants	78
d27_7	d27_7	7	d27	Mutants	55
d27_8	d27_8	8	d27	Mutants	77
d27_9	d27_9	9	d27	Mutants	56
d27_10	d27_10	10	d27	Mutants	58
d27_11	d27_11	11	d27	Mutants	67
d27_12	d27_12	12	d27	Mutants	47
d27_13	d27_13	13	d27	Mutants	55
d27_14	d27_14	14	d27	Mutants	64
d27_15	d27_15	15	d27	Mutants	66
d27_16	d27_16	16	d27	Mutants	56
d27_17	d27_17	17	d27	Mutants	52
d27_18	d27_18	18	d27	Mutants	69
d27_19	d27_19	19	d27	Mutants	50
d27_20	d27_20	20	d27	Mutants	57
d17RtBj01	d17_1	1	d17	Mutants	62
d17RtBj02	d17_2	2	d17	Mutants	47
d17RtBj03	d17_3	3	d17	Mutants	56
d17RtBj04	d17_4	4	d17	Mutants	58
d17RtBj05	d17_5	5	d17	Mutants	60
d17RtBj06	d17_6	6	d17	Mutants	59
d17RtBj07	d17_7	7	d17	Mutants	51
d17RtBj08	d17_8	8	d17	Mutants	45
d17RtBj09	d17_9	9	d17	Mutants	52
d17RtBj10	d17_10	10	d17	Mutants	53
d17RtBj11	d17_11	11	d17	Mutants	41
d17RtBj12	d17_12	12	d17	Mutants	50
d17RtBj13	d17_13	13	d17	Mutants	63
d17RtBj14	d17_14	14	d17	Mutants	48
d17RtBj15	d17_15	15	d17	Mutants	49
d17_16	d17_16	16	d17	Mutants	50
d17_17	d17_17	17	d17	Mutants	50
d17_18	d17_18	18	d17	Mutants	52
d3_1	d3_1	1	d3	Mutants	34
d3_2	d3_2	2	d3	Mutants	60
d3_3	d3_3	3	d3	Mutants	72
d3_4	d3_4	4	d3	Mutants	68
d3_5	d3_5	5	d3	Mutants	63
d3_6	d3_6	6	d3	Mutants	75
d3_7	d3_7	7	d3	Mutants	74
d3_8	d3_8	8	d3	Mutants	68
d3_9	d3_9	9	d3	Mutants	50
d3_10	d3_10	10	d3	Mutants	68
d3_11	d3_11	11	d3	Mutants	59
d3_12	d3_12	12	d3	Mutants	52
d3_13	d3_13	13	d3	Mutants	32
d3_14	d3_14	14	d3	Mutants	68
d3_15	d3_15	15	d3	Mutants	48
d3_16	d3_16	16	d3	Mutants	51
d3_17	d3_17	17	d3	Mutants	66
d3_18	d3_18	18	d3	Mutants	62
d3_19	d3_19	19	d3	Mutants	59
d3_20	d3_20	20	d3	Mutants	47
d53RtBj01	d53_1	1	d53	Mutants	40
d53RtBj02	d53_2	2	d53	Mutants	59
d53RtBj03	d53_3	3	d53	Mutants	58
d53RtBj04	d53_4	4	d53	Mutants	45
d53RtBj05	d53_5	5	d53	Mutants	48
d53RtBj06	d53_6	6	d53	Mutants	41
d53RtBj07	d53_7	7	d53	Mutants	39
d53RtBj08	d53_8	8	d53	Mutants	41
d53RtBj09	d53_9	9	d53	Mutants	53
d53RtBj10	d53_10	10	d53	Mutants	45
d53RtBj11	d53_11	11	d53	Mutants	40
d53RtBj12	d53_12	12	d53	Mutants	49
d53RtBj13	d53_13	13	d53	Mutants	38
d53RtBj14	d53_14	14	d53	Mutants	39
d53RtBj15	d53_15	15	d53	Mutants	45
d53_16	d53_16	16	d53	Mutants	43
d53_17	d53_17	17	d53	Mutants	40
d53_18	d53_18	18	d53	Mutants	41
