Genus	richness	shannon_e	chao1	tiller	height	wetWeight	Subspecies
B4017	1077	4.45	1081.5	9.33333333333333	89.3333333333333	53.3933333333333	TEJ
E4041	1395	5.43	1397.9	21.3333333333333	61	47.4133333333333	IND
E4042	1139	4.91	1143.2	19.3333333333333	68.6666666666667	45.8633333333333	TRJ
E4046	1298	5.2	1300.8	14	70	55.7	AUS
E4047	1364	5.24	1367.1	17	57	42.4066666666667	IND
E4048	1235	4.7	1237.7	10.6666666666667	59.3333333333333	27.8766666666667	IND
E4050	1259	4.87	1262.7	14.6666666666667	70	52.6833333333333	IND
F4054	1063	4.25	1066.6	15.3333333333333	63	52.94	IND
F4055	1126	4.66	1129.9	10	67	52.3966666666667	IND
F4060	1236	4.75	1239.3	12	48.6666666666667	34.83	IND
J4086	991	4.07	995.3	9.66666666666667	60.3333333333333	22.33	TRJ
H4074	1299	4.97	1301.5	11.6666666666667	55	42.4066666666667	IND
H4071	943	3.84	945.8	7	65.6666666666667	24.8333333333333	TEJ
J4083	892	4.02	895.3	14.3333333333333	67	57.2133333333333	TEJ
J4085	934	3.84	937.3	5.66666666666667	74	37.7333333333333	TRJ
J4088	1051	4.51	1055.1	18.6666666666667	74	67.8733333333333	IND
J4089	962	3.95	966.1	15.6666666666667	61.3333333333333	47.55	TEJ
J4090	821	3.58	825.2	10.3333333333333	61	30.9033333333333	TEJ
K4091	796	3.74	801.9	6	87.6666666666667	50.32	TEJ
K4098	805	3.67	811.1	12	78.3333333333333	54.1733333333333	TRJ
N4123	879	3.56	882.3	8.33333333333333	94.3333333333333	59.39	TEJ
P4138	1081	4.3	1084.4	7	93.6666666666667	54.2766666666667	TRJ
P4139	1133	4.11	1137.8	8.33333333333333	85.6666666666667	56.3133333333333	TEJ
P4140	1215	4.84	1219.4	11.3333333333333	49.3333333333333	39.5133333333333	IND
Q4145	1138	4.26	1141.7	19.3333333333333	54.3333333333333	50.1033333333333	IND
Q4147	897	3.94	901.4	13.3333333333333	61.3333333333333	57.1733333333333	TEJ
Q4148	1138	4.34	1141.4	11.3333333333333	70.6666666666667	50.63	TEJ
Q4149	972	3.92	976.8	10.3333333333333	81.6666666666667	53.2433333333333	TEJ
Q4150	1301	4.91	1303.9	32.3333333333333	69	68.6766666666667	AUS
S4170	990	3.71	995.3	13	72	48.0533333333333	TRJ
T4171	1034	3.98	1037.5	16.6666666666667	76.6666666666667	58.5666666666667	AUS
T4173	1010	3.93	1014.7	15.3333333333333	91.6666666666667	73.9833333333333	AUS
T4175	967	3.62	971.4	18.3333333333333	87	81.17	AUS
G4061	1194	4.77	1197.1	8.5	49	19.325	IND
T4177	781	3.1	784	9	84	63.52	TEJ
T4178	1229	4.88	1232	31	75	90.8366666666667	AUS
T4179	852	3.87	855.3	10	77.3333333333333	46.9733333333333	TEJ
W4195	1108	4.54	1111.1	15.6666666666667	67.3333333333333	50.63	IND
W4196	934	3.76	938.8	12.3333333333333	69.6666666666667	52.41	IND
W4197	805	3.16	809.1	11	90.3333333333333	73.9466666666667	IND
W4198	805	3.46	810.5	9	62.6666666666667	23.18	TRJ
W4199	966	3.97	970.8	10.6666666666667	64	32.99	TRJ
X4204	1015	4	1018.7	20.6666666666667	53	50.5666666666667	IND
Y4211	867	4.05	870.7	7	94	55.15	TEJ
A4001	1215	4.72	1218.5	14.3333333333333	69.6666666666667	50.2033333333333	TRJ
A4002	1153	4.3	1157.2	10	56	42.2	IND
A4008	1287	5.23	1289.4	16.6666666666667	63	51.1233333333333	TRJ
A4010	1306	4.91	1308.4	19	63.3333333333333	48.13	IND
B4020	850	3.5	855.7	10.6666666666667	82	50.0366666666667	TEJ
C4021	949	4.21	951.8	6.66666666666667	92.3333333333333	57.21	TEJ
C4022	987	4.19	990.7	8.66666666666667	66.6666666666667	46.7166666666667	TEJ
C4027	877	3.63	881.7	9.33333333333333	87.6666666666667	45.6766666666667	TEJ
E4044	1127	4.42	1130.7	9	70.6666666666667	39.45	IND
F4058	1043	4.33	1045.5	8	62.3333333333333	25.5033333333333	TRJ
G4065	1014	3.97	1018.1	11	67	50.3766666666667	IND
G4068	1136	4.2	1139.6	8.66666666666667	81	38.8233333333333	AUS
G4069	1052	3.86	1054.7	11.6666666666667	76	56.3333333333333	AUS
H4079	1221	4.5	1224.9	13.3333333333333	92.6666666666667	65.27	IND
K4097	1190	4.12	1192.6	13	80	76.4533333333333	AUS
L4101	916	3.83	921.8	10	87	58.26	TEJ
L4103	819	3.23	823.2	10.3333333333333	87	40.7633333333333	TEJ
L4107	974	3.63	977.5	9.33333333333333	67	27.2466666666667	TRJ
L4108	854	3.54	857.3	10.6666666666667	94	60.37	TEJ
L4109	1329	4.77	1331.6	9.66666666666667	89.6666666666667	52.89	AUS
L4110	1327	5.06	1330.3	18.6666666666667	76.6666666666667	61.6066666666667	IND
R4155	1222	4.42	1224.6	12	71.6666666666667	58.59	AUS
R4158	1023	3.66	1027.2	10.6666666666667	68.6666666666667	49.6333333333333	AUS
S4166	1354	5	1357.1	22.6666666666667	73	73.7833333333333	AUS
X4206	1242	4.63	1244.8	7.33333333333333	88.6666666666667	49.4333333333333	AUS
X4210	1143	4.31	1146.3	18	47.3333333333333	40.5966666666667	IND
Y4216	1100	4.32	1104.5	11.3333333333333	55.3333333333333	41.75	TEJ
A4003	1051	4.03	1054.6	11	65.3333333333333	31.8966666666667	TRJ
A4005	1169	4.54	1172.5	10.6666666666667	66.3333333333333	29.9566666666667	TRJ
A4006	1033	4.12	1035.9	9.33333333333333	44.6666666666667	18.9633333333333	TRJ
A4007	1166	4.05	1169.1	9.33333333333333	61	21.2366666666667	TRJ
A4009	1193	4.26	1196.3	12	67.6666666666667	33.81	TRJ
B4011	1246	4.5	1248.5	8.66666666666667	71	34	TRJ
B4012	909	3.52	912.9	13	56.3333333333333	26.9266666666667	TEJ
B4013	877	3.27	880.6	11	66	34.51	TRJ
B4014	1299	4.61	1302.2	9.33333333333333	55.6666666666667	19.7733333333333	IND
B4015	1122	4.14	1124.8	14.6666666666667	55.6666666666667	20.7666666666667	TRJ
B4018	1279	4.65	1282.2	17.3333333333333	68.6666666666667	35.8	IND
B4019	1365	4.85	1368	12	56	22.3466666666667	IND
C4024	1325	4.8	1327.8	18.6666666666667	69.3333333333333	62.3233333333333	AUS
C4025	984	3.72	988.1	17.3333333333333	56.3333333333333	36.81	TEJ
C4026	866	3.8	869.6	12	50.3333333333333	17.3033333333333	TRJ
C4029	1194	4.41	1196.3	14.6666666666667	57	23.6633333333333	AUS
C4030	1163	4.51	1167.1	7.33333333333333	69	25.1366666666667	TRJ
D4031	1051	4.18	1054	12.3333333333333	69.6666666666667	29.16	TRJ
D4033	978	3.68	982.2	8.66666666666667	70.6666666666667	22.91	TRJ
D4034	1190	4.63	1192.9	22	48.6666666666667	32.5033333333333	IND
D4035	1345	4.76	1347.9	13.6666666666667	54.6666666666667	26.28	TRJ
D4036	1376	4.99	1378.5	20.3333333333333	54.3333333333333	27.0166666666667	AUS
D4037	1257	4.52	1259.3	15.6666666666667	66.6666666666667	34.8733333333333	IND
D4039	1336	4.65	1339	11.3333333333333	45.6666666666667	13.4966666666667	AUS
E4043	1343	4.78	1345.2	20.3333333333333	55.6666666666667	36.5133333333333	IND
E4045	1430	5.15	1432.5	24.6666666666667	53	44.08	IND
F4056	1423	5.24	1425.9	22	47.6666666666667	39.77	IND
G4062	1369	5.01	1371.5	20.6666666666667	49.3333333333333	41.8633333333333	IND
G4063	1191	4.65	1193.6	6.33333333333333	58.3333333333333	18.6066666666667	TRJ
G4066	1268	4.62	1271.6	9.33333333333333	71.6666666666667	26.4866666666667	IND
G4070	1165	4.3	1167.3	10.3333333333333	54.6666666666667	14.5466666666667	AUS
H4075	855	3.42	859.7	8.66666666666667	71.3333333333333	33.4133333333333	TEJ
H4076	1201	4.38	1204.1	26.6666666666667	44	42.3666666666667	IND
H4077	1235	4.54	1238.2	14.3333333333333	62.3333333333333	31.4733333333333	TRJ
H4080	1346	4.97	1348.7	24.6666666666667	61	55.1866666666667	IND
K4092	1161	4.31	1164.4	14	61.6666666666667	32.59	TRJ
K4093	1317	4.92	1319.2	19.3333333333333	53.3333333333333	39.97	IND
K4094	950	3.92	953.4	5	60.5	15.395	TEJ
K4096	1311	4.74	1313.5	26.6666666666667	51	36.2933333333333	IND
L4105	1278	4.97	1281.1	8.33333333333333	40.6666666666667	12.5166666666667	IND
L4106	1200	4.54	1203.1	21.3333333333333	70.3333333333333	36.9366666666667	AUS
M4111	1216	4.82	1218.7	22.3333333333333	46.3333333333333	28.2766666666667	AUS
M4112	1229	4.56	1232.4	11.6666666666667	53.3333333333333	17.08	IND
M4113	1292	4.86	1294.8	12	55	26.56	IND
M4114	1255	4.6	1257.8	20.3333333333333	62.3333333333333	42.44	IND
M4115	1253	4.66	1257.1	11.6666666666667	70	34.0833333333333	IND
M4116	1125	4.09	1129	20.3333333333333	49.6666666666667	34.4533333333333	AUS
M4117	1000	3.7	1004.5	14.3333333333333	51.6666666666667	18.5166666666667	IND
M4118	1042	3.98	1045.3	15	43.3333333333333	15.3833333333333	IND
M4119	1184	4.31	1187.7	22.6666666666667	52.3333333333333	35.5266666666667	IND
N4121	1179	4.42	1181.9	29.3333333333333	66.3333333333333	64.5	IND
N4122	1151	4.14	1153.8	15	65.6666666666667	41.1633333333333	AUS
