Days,group2,method,p,padjFDR,pAsterisk,padjFDRAsterisk
TillerNumber11D,Negative10FoldSynCom,Wilcoxon,0.360765350584501,0.360765350584501,,
TillerNumber11D,Negative3FoldSynCom,Wilcoxon,0.360765350584501,0.360765350584501,,
TillerNumber11D,Positive10FoldSynCom,Wilcoxon,0.00971189086580758,0.0194237817316152,**,*
TillerNumber11D,Positive3FoldSynCom,Wilcoxon,0.00338793273275621,0.0135517309310248,**,*
TillerNumber16D,Negative10FoldSynCom,Wilcoxon,0.180835878863036,0.180835878863036,,
TillerNumber16D,Negative3FoldSynCom,Wilcoxon,0.180835878863036,0.180835878863036,,
TillerNumber16D,Positive10FoldSynCom,Wilcoxon,0.161984339683175,0.180835878863036,,
TillerNumber16D,Positive3FoldSynCom,Wilcoxon,0.0262505381620816,0.105002152648327,*,
TillerNumber21D,Negative10FoldSynCom,Wilcoxon,1.25722949250518e-08,5.0289179700207e-08,***,***
TillerNumber21D,Negative3FoldSynCom,Wilcoxon,0.00014075442057191,0.000281508841143819,***,***
TillerNumber21D,Positive10FoldSynCom,Wilcoxon,0.435004040438547,0.435004040438547,,
TillerNumber21D,Positive3FoldSynCom,Wilcoxon,0.158087862296552,0.210783816395402,,
TillerNumber26D,Negative10FoldSynCom,Wilcoxon,8.51148832553599e-08,3.4045953302144e-07,***,***
TillerNumber26D,Negative3FoldSynCom,Wilcoxon,0.00855678539695959,0.0114090471959461,**,*
TillerNumber26D,Positive10FoldSynCom,Wilcoxon,0.000525772286955669,0.00105154457391134,***,**
TillerNumber26D,Positive3FoldSynCom,Wilcoxon,0.0545413967268361,0.0545413967268361,,
TillerNumber31D,Negative10FoldSynCom,Wilcoxon,7.36241860424424e-05,0.00029449674416977,***,***
TillerNumber31D,Negative3FoldSynCom,Wilcoxon,0.0084880413356399,0.0169760826712798,**,*
TillerNumber31D,Positive10FoldSynCom,Wilcoxon,0.0625889453066299,0.0834519270755065,,
TillerNumber31D,Positive3FoldSynCom,Wilcoxon,0.148296100023575,0.148296100023575,,
TillerNumber36D,Negative10FoldSynCom,Wilcoxon,0.000172719967382467,0.000690879869529867,***,***
TillerNumber36D,Negative3FoldSynCom,Wilcoxon,0.0140144906221715,0.0186859874962287,*,*
TillerNumber36D,Positive10FoldSynCom,Wilcoxon,0.00721338821531871,0.0144267764306374,**,*
TillerNumber36D,Positive3FoldSynCom,Wilcoxon,0.0766052304117523,0.0766052304117523,,
TillerNumber42D,Negative10FoldSynCom,Wilcoxon,0.000172719967382467,0.000690879869529867,***,***
TillerNumber42D,Negative3FoldSynCom,Wilcoxon,0.0140144906221715,0.0147190074170753,*,*
TillerNumber42D,Positive10FoldSynCom,Wilcoxon,0.000729806565911796,0.00145961313182359,***,**
TillerNumber42D,Positive3FoldSynCom,Wilcoxon,0.0147190074170753,0.0147190074170753,*,*
TillerNumber47D,Negative10FoldSynCom,Wilcoxon,0.00034889379505026,0.00117615565815013,***,**
TillerNumber47D,Negative3FoldSynCom,Wilcoxon,0.0140144906221715,0.0147190074170753,*,*
TillerNumber47D,Positive10FoldSynCom,Wilcoxon,0.000588077829075066,0.00117615565815013,***,**
TillerNumber47D,Positive3FoldSynCom,Wilcoxon,0.0147190074170753,0.0147190074170753,*,*
