group2,method,p,padjFDR,pAsterisk,padjFDRAsterisk
R1275,Wilcoxon,1.34248037647405e-08,1.74522448941626e-07,***,***
R1405,Wilcoxon,0.000202076225948935,0.000656747734334038,***,***
R1625,Wilcoxon,0.650850855880505,0.759266935581718,,
R1801,Wilcoxon,0.0109998990102328,0.0158887430147808,*,*
R1870,Wilcoxon,9.52500557277998e-06,4.12750241487132e-05,***,***
R2149,Wilcoxon,0.384239164783073,0.499510914217995,,
R2188,Wilcoxon,2.80300713142149e-06,1.82195463542397e-05,***,***
R2488,Wilcoxon,0.00253011877903033,0.00514807413408263,**,**
R2567,Wilcoxon,0.000397181996597443,0.00103267319115335,***,**
R2797,Wilcoxon,0.940924762647735,0.940924762647735,,
R2828,Wilcoxon,0.00277203991835219,0.00514807413408263,**,**
R3062,Wilcoxon,0.700861786690817,0.759266935581718,,
R780,Wilcoxon,0.00978931026540513,0.0158887430147808,**,*
