GroupID,TillerNumber
Mock,13
Mock,13
Mock,12
Mock,12
Mock,12
Mock,11
Mock,13
Mock,13
Mock,12
Mock,13
Mock,13
Mock,13
Mock,11
Mock,11
Mock,14
Mock,13
Mock,12
Mock,13
Mock,14
Mock,13
R2828,15
R2828,19
R2828,17
R2828,25
R2828,12
R2828,15
R2828,16
R2828,13
R2828,12
R2828,18
R2828,14
R2828,16
R2828,11
R2828,16
R2828,16
R780,15
R780,13
R780,19
R780,13
R780,15
R780,17
R780,16
R780,17
R780,11
R780,12
R780,14
R780,10
R780,17
R780,15
R780,15
R1801,12
R1801,13
R1801,13
R1801,15
R1801,14
R1801,13
R1801,15
R1801,13
R1801,17
R1801,13
R1801,14
R1801,15
R1801,12
PositiveSynCom,17
PositiveSynCom,13
PositiveSynCom,15
PositiveSynCom,15
PositiveSynCom,20
PositiveSynCom,12
PositiveSynCom,18
PositiveSynCom,14
PositiveSynCom,12
PositiveSynCom,13
PositiveSynCom,18
PositiveSynCom,12
PositiveSynCom,16
PositiveSynCom,17
PositiveSynCom,13
R2567,9
R2567,8
R2567,6
R2567,14
R2567,10
R2567,6
R2567,8
R2567,9
R2567,5
R2567,10
R2567,10
R2567,9
R2567,8
R2567,9
R2567,9
R1405,9
R1405,8
R1405,7
R1405,11
R1405,9
R1405,15
R1405,10
R1405,10
R1405,11
R1405,12
R1405,11
R1405,10
R1405,12
R1405,11
R1405,12
R2488,11
R2488,14
R2488,10
R2488,17
R2488,15
R2488,9
R2488,10
R2488,9
R2488,10
R2488,9
R2488,8
R2488,15
R2488,8
R2488,10
R2488,6
NegativeSynCom,13
NegativeSynCom,14
NegativeSynCom,10
NegativeSynCom,8
NegativeSynCom,17
NegativeSynCom,9
NegativeSynCom,9
NegativeSynCom,9
NegativeSynCom,7
NegativeSynCom,10
NegativeSynCom,8
NegativeSynCom,6
NegativeSynCom,10
NegativeSynCom,8
NegativeSynCom,7
