ID	Bacteria	SampleID	GroupID	AdjustTillerNumber	Genotype	Correlation	FullName
1	GF	Nip_GF_1_1	Nip_GF	4	Nip	Control	Germ free
2	GF	Nip_GF_1_2	Nip_GF	4	Nip	Control	Germ free
3	GF	Nip_GF_1_3	Nip_GF	5	Nip	Control	Germ free
4	GF	Nip_GF_1_4	Nip_GF	4	Nip	Control	Germ free
5	GF	Nip_GF_1_5	Nip_GF	5	Nip	Control	Germ free
6	GF	Nip_GF_2_1	Nip_GF	4	Nip	Control	Germ free
7	GF	Nip_GF_2_2	Nip_GF	3	Nip	Control	Germ free
8	GF	Nip_GF_2_3	Nip_GF	4	Nip	Control	Germ free
9	GF	Nip_GF_2_4	Nip_GF	3	Nip	Control	Germ free
10	GF	Nip_GF_2_5	Nip_GF	4	Nip	Control	Germ free
11	GF	Nip_GF_3_1	Nip_GF	3	Nip	Control	Germ free
12	GF	Nip_GF_3_2	Nip_GF	4	Nip	Control	Germ free
13	GF	Nip_GF_3_3	Nip_GF	3	Nip	Control	Germ free
14	GF	Nip_GF_3_4	Nip_GF	3	Nip	Control	Germ free
15	GF	Nip_GF_3_5	Nip_GF	5	Nip	Control	Germ free
16	GF	Nip_GF_4_1	Nip_GF	4	Nip	Control	Germ free
17	GF	Nip_GF_4_2	Nip_GF	3	Nip	Control	Germ free
18	GF	Nip_GF_4_3	Nip_GF	4	Nip	Control	Germ free
19	GF	Nip_GF_4_4	Nip_GF	4	Nip	Control	Germ free
20	GF	Nip_GF_4_5	Nip_GF	3	Nip	Control	Germ free
21	GF	Nip_GF_5_1	Nip_GF	5	Nip	Control	Germ free
22	GF	Nip_GF_5_2	Nip_GF	4	Nip	Control	Germ free
23	GF	Nip_GF_5_3	Nip_GF	3	Nip	Control	Germ free
24	GF	Nip_GF_5_4	Nip_GF	3	Nip	Control	Germ free
25	GF	Nip_GF_5_5	Nip_GF	4	Nip	Control	Germ free
26	GF	d14_GF_5_5	d14_GF	5	d14	Control	Germ free
27	GF	d14_GF_6_1	d14_GF	5	d14	Control	Germ free
28	GF	d53_GF_3_1	d53_GF	7	d53	Control	Germ free
29	GF	d53_GF_3_2	d53_GF	8	d53	Control	Germ free
30	GF	d53_GF_3_3	d53_GF	7	d53	Control	Germ free
31	GF	d53_GF_3_4	d53_GF	8	d53	Control	Germ free
32	GF	d53_GF_3_5	d53_GF	7	d53	Control	Germ free
33	GF	d53_GF_2_1	d53_GF	8	d53	Control	Germ free
34	GF	d53_GF_2_2	d53_GF	8	d53	Control	Germ free
35	GF	d53_GF_2_3	d53_GF	7	d53	Control	Germ free
36	GF	d53_GF_2_4	d53_GF	8	d53	Control	Germ free
37	GF	d53_GF_2_5	d53_GF	9	d53	Control	Germ free
38	GF	d53_GF_1_1	d53_GF	8	d53	Control	Germ free
