ID	Repetition	Genotype	TillerNumber
Nip_1	1	Nip	20
Nip_2	2	Nip	23
Nip_3	3	Nip	16
Nip_4	4	Nip	22
Nip_5	5	Nip	18
Nip_6	6	Nip	26
Nip_7	7	Nip	21
Nip_8	8	Nip	22
Nip_9	9	Nip	16
Nip_10	10	Nip	16
Nip_11	11	Nip	19
Nip_12	12	Nip	17
Nip_13	13	Nip	16
Nip_14	14	Nip	18
Nip_15	15	Nip	22
Nip_16	16	Nip	18
Nip_17	17	Nip	17
Nip_18	18	Nip	20
Nip_19	19	Nip	17
Nip_20	20	Nip	16
d10_1	1	d10	130
d10_2	2	d10	142
d10_3	3	d10	126
d10_4	4	d10	143
d10_5	5	d10	115
d10_6	6	d10	158
d10_7	7	d10	143
d10_8	8	d10	47
d10_9	9	d10	169
d10_10	10	d10	141
d10_11	11	d10	156
d10_12	12	d10	130
d10_13	13	d10	140
d10_14	14	d10	60
d10_15	15	d10	143
d10_16	16	d10	182
d10_17	17	d10	86
d10_18	18	d10	118
d10_19	19	d10	139
d10_20	20	d10	157
d14_1	1	d14	44
d14_2	2	d14	59
d14_3	3	d14	63
d14_4	4	d14	44
d14_5	5	d14	62
d14_6	6	d14	48
d14_7	7	d14	50
d14_8	8	d14	47
d14_9	9	d14	53
d14_10	10	d14	46
d14_11	11	d14	57
d14_12	12	d14	57
d14_13	13	d14	73
d14_14	14	d14	51
d14_15	15	d14	64
d14_16	16	d14	65
d14_17	17	d14	53
d14_18	18	d14	56
d14_19	19	d14	66
d14_20	20	d14	44
d17_1	1	d17	102
d17_2	2	d17	93
d17_3	3	d17	101
d17_4	4	d17	76
d17_5	5	d17	87
d17_6	6	d17	103
d17_7	7	d17	121
d17_8	8	d17	121
d17_9	9	d17	104
d17_10	10	d17	108
d17_11	11	d17	90
d17_12	12	d17	81
d17_13	13	d17	121
d17_14	14	d17	101
d17_15	15	d17	68
d17_16	16	d17	101
d17_17	17	d17	90
d17_18	18	d17	64
d17_19	19	d17	91
d17_20	20	d17	79
d53_1	1	d53	59
d53_2	2	d53	49
d53_3	3	d53	45
d53_4	4	d53	55
d53_5	5	d53	52
d53_6	6	d53	48
d53_7	7	d53	49
d53_8	8	d53	57
d53_9	9	d53	39
d53_10	10	d53	67
d53_11	11	d53	56
d53_12	12	d53	61
d53_13	13	d53	52
d53_14	14	d53	66
d53_15	15	d53	61
d53_16	16	d53	62
d53_17	17	d53	61
d53_18	18	d53	70
d53_19	19	d53	61
d53_20	20	d53	51
